headline,image,author name,url,subheader,premium,arcticle type
"Des manifestations dans toute l’Europe contre la « touristification » de certaines villes : « Je ne veux pas déménager, je veux avoir le droit d’habiter ici »",https://img.lemde.fr/2025/06/14/2/0/3692/2461/180/0/95/0/a547162_upload-1-unvoy8mggovf-000-36ju8fc.jpg,No author name found,,Now subheader found,yes,No article type found
Nucléaire : « Les ogres des données sont partis à la chasse aux électrons »,https://img.lemde.fr/2025/06/03/0/1/2997/1998/180/0/95/0/b0d0c7f_ftp-import-images-1-jo7tnuu5jelx-98277219af4f4d83a5240f40f6a9e594-0-eefa06f25fa649c08b5d91a45b637006.jpg,Isabelle Chaperon,,Now subheader found,yes,No article type found
"« Emporté dans le sillage de l’or, l’argent surperforme »",https://img.lemde.fr/2025/06/13/0/0/5700/3800/180/0/95/0/6bbd81c_upload-1-lsgvzrxzkarf-2023-09-16t083547z-1663181384-rc2u83azqsig-rtrmadp-3-global-precious.JPG,Laurence Girard,,Now subheader found,yes,No article type found
« L’océan reste le grand absent des stratégies d’entreprise alors que 40 % des emplois en France dépendent des milieux marins »,https://img.lemde.fr/2025/06/13/0/0/3000/2000/180/0/95/0/435f47b_upload-1-3klla19u0ang-frame-1280.jpg,Arnaud Florentin,,Now subheader found,yes,No article type found
"En Algérie, des femmes exposent leurs harceleurs de rue sur les réseaux sociaux",https://img.lemde.fr/2025/06/12/0/150/1620/1080/180/0/95/0/26bcfd5_upload-1-n3xfwybw3zrb-cover.jpg,No author name found,,Now subheader found,no,No article type found
A quoi servent les commissions d’enquête parlementaires ? Comprendre en trois minutes,https://img.lemde.fr/2025/06/13/282/0/540/360/180/0/95/0/033c045_upload-1-39cwmtwewdgm-lemondevv-20250612-t3.png,No author name found,,Now subheader found,no,No article type found
Les images de la riposte iranienne sur Israël,https://img.lemde.fr/2025/06/13/0/0/4092/2728/180/0/95/0/af34a96_ftp-import-images-1-5goqoes3jfki-008231c74ff04fce8003671210c4a0f3-0-bb645623d6794a07bfef543f19193230.jpg,No author name found,,Now subheader found,no,No article type found
Ukraine : ce que l’on sait de l’attaque de drones inédite lancée contre des bases russes,https://img.lemde.fr/2025/06/02/320/0/960/640/180/0/95/0/b7cba4d_ftp-import-images-1-1ugaq6pjy6as-5079562-01-06.jpg,No author name found,,Now subheader found,no,No article type found
Editorial du « Monde » : le choix de la guerre et de ses risques,https://img.lemde.fr/2025/06/14/0/0/5290/3527/180/0/95/0/00dcce4_upload-1-jtw1tnn1dsj1-423859.jpg,No author name found,,Now subheader found,no,No article type found
« Ce n’est pas dans la culture de l’armée américaine de participer aux opérations de maintien de l’ordre »,https://img.lemde.fr/2025/05/29/0/0/3000/2000/180/0/95/0/1800b0a_sirius-fs-upload-1-il8f32ndj6au-1748529964111-frame-178.jpg,No author name found,,Now subheader found,yes,No article type found
IA : « Les robots peuvent-ils battre les loups de Wall Street ? »,https://img.lemde.fr/2025/06/13/0/0/7582/5054/180/0/95/0/7030d23_upload-1-xurii7svjf3i-415270.jpg,Isabelle Chaperon,,Now subheader found,yes,No article type found
"« Retarder de quelques années l’avancée du nucléaire iranien est un succès, mais cela ne peut être l’objectif final d’une politique de sécurité durable »",https://img.lemde.fr/2025/06/14/26/0/2050/1366/180/0/95/0/9fe7393_upload-1-zcalmsagvqif-523581.jpg,Benjamin Hautecouverture,,Now subheader found,yes,No article type found
"Aux cinémas Dulac, un climat délétère",https://img.lemde.fr/2025/06/12/0/0/4500/3000/180/0/95/0/c207273_upload-1-yj2lsqh2wgth-000-36ww9nr.jpg,No author name found,,Now subheader found,yes,No article type found
"« L’Epopée des passeurs », d’Alexandre Lauret : sur la route de l’eldorado arabe",https://img.lemde.fr/2025/06/10/0/0/6000/4000/180/0/95/0/d0f124e_sirius-fs-upload-1-k4qhdotwpvbc-1749566622226-myop-alce-s4460-163688.jpg,No author name found,,Now subheader found,yes,No article type found
"« Télétravail du sexe », sur Tënk : de l’autre côté de l’écran, la vie réelle des « camgirls »",https://img.lemde.fr/2025/06/05/0/81/1017/678/180/0/95/0/7b1e93c_sirius-fs-upload-1-ri1wlsesdh8v-1749140858573-ttds-2.jpg,No author name found,,Now subheader found,yes,No article type found
"Chenonceau, l’Acropole  ou le château d’If : le patrimoine malmené et défié par le dérèglement climatique",https://img.lemde.fr/2025/06/11/1/0/4496/2997/180/0/95/0/7ff980b_sirius-fs-upload-1-etcdhavsf07m-1749633169436-000-be94o.jpg,No author name found,,Now subheader found,yes,No article type found
Est-ce bien raisonnable de… porter ses lunettes de soleil sur le crâne ?,https://img.lemde.fr/2025/06/09/0/0/1500/1000/180/0/95/0/ffb8a77_ftp-import-images-1-blvdwrtjy1zd-384985-3425113.jpg,Marc Beaugé,,Now subheader found,no,No article type found
"Que faire, que voir, où aller ? L’agenda culturel et art de vivre du 15 au 22 juin",https://img.lemde.fr/2025/06/10/0/0/1500/1000/180/0/95/0/7162211_sirius-fs-upload-1-mntb1ralgyct-1749563872440-nomades-lebarn-domaine-3.jpg,No author name found,,Now subheader found,no,No article type found
"Gen Z, génération au parfum : « Tout est bon pour se différencier et affirmer haut et fort sa singularité »",https://img.lemde.fr/2025/06/10/75/0/1500/1000/180/0/95/0/0a935a5_sirius-fs-upload-1-btri006v845y-1749569774849-250602-blv-x-m-le-monde-arg-49-c-guillaume-blot-1-1.jpg,No author name found,,Now subheader found,yes,No article type found
"A l’Armée du salut, l’incroyable pouvoir caritatif du donut",https://img.lemde.fr/2025/06/12/0/659/3951/2634/180/0/95/0/fdefce9_upload-1-mthk9kw0p30r-pano-gau-arthur-dd-014.jpg,No author name found,,Now subheader found,yes,No article type found
"         Live  Article se déroulant en direct   L’Iran a bombardé Israël dans la nuit en riposte à l’attaque massive, au moins 10 morts et des centaines de blessés  ",,No author name found,"<a aria-describedby=""zone1-live-3426975"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/international/live/2025/06/15/en-direct-israel-iran-teheran-a-bombarde-le-territoire-israelien-dans-la-nuit-en-riposte-a-l-attaque-massive-au-moins-10-morts-et-des-centaines-de-blesses_6612642_3210.html""> <p class=""article__title-label"">L’Iran a bombardé Israël dans la nuit en riposte à l’attaque massive, au moins 10 morts et des centaines de blessés</p> </a>","Dix personnes sont mortes et plus de 200 ont été blessées depuis samedi soir dans la région de Tel-Aviv et à Tamra, en Haute-Galilée, selon les services de secours. Le dépôt pétrolier de Sharan, à Téhéran, a été détruit, dimanche, par un missile israélien.",yes,No article type found
"La supériorité aérienne du F-35, l’un des avions de combat les plus performants au monde, en infographies",,No author name found,"<a aria-describedby=""premium-3426792"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/international/article/2025/06/15/la-superiorite-aerienne-du-f-35_6613238_3210.html""> <p class=""article__title"">La supériorité aérienne du F-35, l’un des avions de combat les plus performants au monde, en infographies</p> </a>",Now subheader found,yes,No article type found
"Nicolas Sarkozy devient le deuxième chef de l’Etat français à se voir retirer la Légion d’honneur, après le maréchal Pétain",,No author name found,"<a class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/societe/article/2025/06/15/nicolas-sarkozy-finalement-exclu-de-la-legion-d-honneur-a-la-suite-de-sa-condamnation-dans-l-affaire-des-ecoutes_6613121_3224.html""> <p class=""article__title"">Nicolas Sarkozy devient le deuxième chef de l’Etat français à se voir retirer la Légion d’honneur, après le maréchal Pétain</p> </a>",Now subheader found,no,No article type found
"Des manifestations dans toute l’Europe contre la « touristification » de certaines villes : « Je ne veux pas déménager, je veux avoir le droit d’habiter ici »",,No author name found,"<a aria-describedby=""premium-3424426"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/economie/article/2025/06/15/de-lisbonne-a-barcelone-une-vague-de-protestations-contre-la-touristification-des-villes_6613232_3234.html""> <p class=""article__title"">Des manifestations dans toute l’Europe contre la « touristification » de certaines villes : « Je ne veux pas déménager, je veux avoir le droit d’habiter ici »</p> </a>",Now subheader found,yes,Enquête
"« L’extrême droite américaine est imprégnée d’un millénarisme apocalyptique, nourri par la crise environnementale »",,No author name found,"<a aria-describedby=""premium-3427028"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/idees/article/2025/06/15/l-extreme-droite-americaine-est-impregnee-d-un-millenarisme-apocalyptique-nourri-par-la-crise-environnementale_6613225_3232.html""> <p class=""article__title"">« L’extrême droite américaine est imprégnée d’un millénarisme apocalyptique, nourri par la crise environnementale »</p> </a>","En même temps que Donald Trump affiche son anti-environnementalisme, les puissants du monde anticipent un cataclysme et construisent les moyens d’y échapper. ",yes,Chronique
"Au Centre Pompidou, la bibliothèque personnelle de Wolfgang Tillmans",,No author name found,"<a aria-describedby=""premium-3426900"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/culture/article/2025/06/15/au-centre-pompidou-la-bibliotheque-personnelle-de-wolfgang-tillmans_6613354_3246.html""> <p class=""article__title"">Au Centre Pompidou, la bibliothèque personnelle de Wolfgang Tillmans</p> </a>",Now subheader found,yes,No article type found
"La relance des naissances, nouveau ciment des droites aux Etats-Unis",,No author name found,"<a href=""https://www.lemonde.fr/idees/article/2025/06/15/la-relance-des-naissances-nouveau-ciment-des-droites-aux-etats-unis_6613236_3232.html""> <div class=""article__media-container""> <picture class=""article__media""> <img alt="""" data-sizes=""(min-width: 1024px) 355px, 664px"" data-src=""https://img.lemde.fr/2025/06/12/576/0/2433/1622/664/442/75/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg"" data-srcset=""https://img.lemde.fr/2025/06/12/576/0/2433/1622/1328/885/45/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg 1328w, https://img.lemde.fr/2025/06/12/576/0/2433/1622/664/442/75/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg 664w, https://img.lemde.fr/2025/06/12/576/0/2433/1622/355/236/75/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg 355w"" height=""443"" loading=""eager"" width=""664""/> <noscript> <img alt="""" src=""https://img.lemde.fr/2025/06/12/576/0/2433/1622/664/442/75/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg""/> </noscript> </picture> </div> <div class=""article__wrapper""> <p class=""article__type"">Enquête</p> <p class=""article__byline""> Valentine Faure</p> <span class=""icon__premium""><span class=""sr-only"">Article réservé aux abonnés</span></span><p class=""article__title article__title--inline"">La relance des naissances, nouveau ciment des droites aux Etats-Unis</p> <p class=""article__desc"">Après le combat contre l’avortement, le Parti républicain a fait de la famille nombreuse son cheval de bataille. Porté par le milliardaire Elon Musk et le vice-président J. D. Vance, le combat pronataliste masque pourtant des divergences profondes au sein de la coalition MAGA.</p> </div> <p class=""article__footer-info"">14 min de lecture </p> </a>",Now subheader found,yes,Enquête
Le point sur la guerre en Ukraine : les dernières informations,,No author name found,"<a aria-describedby=""live-3427203"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/international/live/2025/06/15/en-direct-guerre-en-ukraine-les-dernieres-informations_6613242_3210.html""> <div class=""article__title"">Le point sur la guerre en Ukraine : les dernières informations</div> </a>",Now subheader found,yes,No article type found
"Jérôme Guedj traite Jean-Luc Mélenchon de « salopard antisémite », Manuel Bompard exige des excuses d’Olivier Faure",,No author name found,"<a class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/politique/article/2025/06/15/jerome-guedj-traite-jean-luc-melenchon-de-salopard-antisemite-manuel-bompard-exige-des-excuses-d-olivier-faure_6613356_823448.html""> <div class=""article__title"">Jérôme Guedj traite Jean-Luc Mélenchon de « salopard antisémite », Manuel Bompard exige des excuses d’Olivier Faure</div> </a>",Now subheader found,no,No article type found
"L’affaire des « 701 kilos de cocaïne », symbole des dérives et de la corruption du système en Algérie",,No author name found,"<a aria-describedby=""premium-3426366"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/afrique/article/2025/06/15/drogue-et-corruption-en-algerie-l-affaire-des-701-kilos-de-cocaine-devant-la-justice_6613245_3212.html""> <div class=""article__title"">L’affaire des « 701 kilos de cocaïne », symbole des dérives et de la corruption du système en Algérie</div> </a>",Now subheader found,yes,No article type found
D’ex-salariés d’une formation supérieure privée dénoncent le « business » des étudiants étrangers,,No author name found,"<a aria-describedby=""premium-3424895"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/campus/article/2025/06/15/d-ex-salaries-d-une-formation-superieure-privee-denoncent-le-business-des-etudiants-etrangers_6613314_4401467.html""> <div class=""article__title"">D’ex-salariés d’une formation supérieure privée dénoncent le « business » des étudiants étrangers</div> </a>",Now subheader found,yes,No article type found
Quatorze départements de l’est de la France en vigilance orange avant l’arrivée « de nouveaux orages forts »,No image found,No author name found,"<a class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/planete/article/2025/06/15/orages-quatorze-departements-en-vigilance-orange-dimanche_6613352_3244.html""> <div class=""article__title mb0"">Quatorze départements de l’est de la France en vigilance orange avant l’arrivée « de nouveaux orages forts »</div> </a>",Now subheader found,no,No article type found
"L’assassinat d’une élue démocrate dans le Minnesota, nouvel épisode de violence politique aux Etats-Unis",No image found,No author name found,"<a aria-describedby=""premium-3427198"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/international/article/2025/06/15/assassinat-d-une-elue-democrate-dans-le-minnesota-faux-policier-faux-pasteur-le-profil-hors-norme-du-suspect_6613228_3210.html""> <div class=""article__title mb0"">L’assassinat d’une élue démocrate dans le Minnesota, nouvel épisode de violence politique aux Etats-Unis</div> </a>",Now subheader found,yes,No article type found
Emmanuel Macron à Nuuk pour soutenir le Groenland et Copenhague face aux Etats-Unis,No image found,No author name found,"<a aria-describedby=""premium-3427048"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/international/article/2025/06/15/emmanuel-macron-a-nuuk-pour-soutenir-le-groenland-et-copenhague-face-aux-etats-unis_6613229_3210.html""> <div class=""article__title mb0"">Emmanuel Macron à Nuuk pour soutenir le Groenland et Copenhague face aux Etats-Unis</div> </a>",Now subheader found,yes,No article type found
Trenitalia ouvre sa liaison Paris-Marseille et confirme ses ambitions en Europe,No image found,No author name found,"<a aria-describedby=""premium-3427108"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/economie/article/2025/06/15/trenitalia-ouvre-sa-liaison-paris-marseille-et-confirme-ses-ambitions-en-europe_6613226_3234.html""> <div class=""article__title mb0"">Trenitalia ouvre sa liaison Paris-Marseille et confirme ses ambitions en Europe</div> </a>",Now subheader found,yes,No article type found
A quoi servent les commissions d’enquête parlementaires ? Comprendre en trois minutes,No image found,No author name found,"<a class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/comprendre-en-3-minutes/video/2025/06/14/a-quoi-servent-les-commissions-d-enquete-parlementaires-comprendre-en-trois-minutes_6612968_6176282.html""> <div class=""article__title mb0"">A quoi servent les commissions d’enquête parlementaires ? Comprendre en trois minutes</div> </a>",Now subheader found,no,No article type found
Est-ce bien raisonnable de… porter ses lunettes de soleil sur le crâne ?,No image found,No author name found,"<a class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/m-styles/article/2025/06/15/est-ce-bien-raisonnable-de-porter-ses-lunettes-de-soleil-sur-le-crane_6613348_4497319.html""> <div class=""article__title mb0"">Est-ce bien raisonnable de… porter ses lunettes de soleil sur le crâne ?</div> </a>",Now subheader found,no,Chronique
La « sirène de bureau » est-elle le poisson-pilote du capitalisme ?,No image found,No author name found,"<a aria-describedby=""premium-3425301"" class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/m-perso/article/2025/06/15/la-sirene-de-bureau-est-elle-le-poisson-pilote-du-capitalisme_6613230_4497916.html""> <div class=""article__title mb0"">La « sirène de bureau » est-elle le poisson-pilote du capitalisme ?</div> </a>",Now subheader found,yes,No article type found
Bernard Cazeneuve est l’invité de « Questions politiques »,No image found,No author name found,"<a class=""lmd-link-clickarea__link"" href=""https://www.lemonde.fr/politique/article/2025/06/15/bernard-cazeneuve-est-l-invite-de-questions-politiques_6613357_823448.html""> <div class=""article__title mb0"">Bernard Cazeneuve est l’invité de « Questions politiques »</div> </a>",Now subheader found,no,No article type found
Manifestations No Kings contre Donald Trump aux Etats-Unis : « On avait besoin de se compter »,,No author name found,"<a href=""https://www.lemonde.fr/international/article/2025/06/15/manifestations-no-kings-contre-donald-trump-aux-etats-unis-on-avait-besoin-de-se-compter_6613227_3210.html""> <div class=""article__media-container""> <picture class=""article__media""> <img alt="""" data-sizes=""(min-width: 1024px) 355px, 664px"" data-src=""https://img.lemde.fr/2025/06/14/0/8/2890/1927/664/442/75/0/3d347c7_ftp-import-images-1-b3xoickfryop-2025-06-14t194548z-1556662628-rc2j2fa1h37d-rtrmadp-3-usa-trump-protest-los-angeles.JPG"" data-srcset=""https://img.lemde.fr/2025/06/14/0/8/2890/1927/1328/885/45/0/3d347c7_ftp-import-images-1-b3xoickfryop-2025-06-14t194548z-1556662628-rc2j2fa1h37d-rtrmadp-3-usa-trump-protest-los-angeles.JPG 1328w, https://img.lemde.fr/2025/06/14/0/8/2890/1927/664/442/75/0/3d347c7_ftp-import-images-1-b3xoickfryop-2025-06-14t194548z-1556662628-rc2j2fa1h37d-rtrmadp-3-usa-trump-protest-los-angeles.JPG 664w, https://img.lemde.fr/2025/06/14/0/8/2890/1927/355/236/75/0/3d347c7_ftp-import-images-1-b3xoickfryop-2025-06-14t194548z-1556662628-rc2j2fa1h37d-rtrmadp-3-usa-trump-protest-los-angeles.JPG 355w"" height=""443"" width=""664""/> <noscript> <img alt="""" src=""https://img.lemde.fr/2025/06/14/0/8/2890/1927/664/442/75/0/3d347c7_ftp-import-images-1-b3xoickfryop-2025-06-14t194548z-1556662628-rc2j2fa1h37d-rtrmadp-3-usa-trump-protest-los-angeles.JPG""/> </noscript> </picture> </div> <div class=""article__wrapper""> <p class=""article__type"">Reportage</p> <span class=""icon__premium""><span class=""sr-only"">Article réservé aux abonnés</span></span><p class=""article__title article__title--inline"">Manifestations No Kings contre Donald Trump aux Etats-Unis : « On avait besoin de se compter »</p> <p class=""article__desc"">Des millions de personnes se sont rassemblées à travers le pays pour dénoncer les dérives autoritaires du président américain. Pendant ce temps-là, à Washington, le républicain assistait au défilé militaire qu’il avait organisé.</p> </div> <p class=""article__footer-info"">8 min de lecture </p> </a>",Now subheader found,yes,Reportage
"Guy Savoy, chef étoilé : « A 15 ans, j’ai passé toutes mes vacances d’été à cuisiner à la buvette du jardin public »",,No author name found,"<a href=""https://www.lemonde.fr/m-gastronomie/article/2025/06/15/guy-savoy-chef-etoile-a-15-ans-j-ai-passe-toutes-mes-vacances-d-ete-a-cuisiner-a-la-buvette-du-jardin-public_6613240_4497540.html""> <div class=""article__media-container""> <picture class=""article__media""> <img alt=""Guy Savoy, à Paris, le 16 mars 2023."" data-sizes=""(min-width: 1024px) 355px, 664px"" data-src=""https://img.lemde.fr/2025/06/13/972/0/2333/1555/664/442/75/0/a3a86ee_upload-1-jcbwh36srwml-zam0202129.jpg"" data-srcset=""https://img.lemde.fr/2025/06/13/972/0/2333/1555/1328/885/45/0/a3a86ee_upload-1-jcbwh36srwml-zam0202129.jpg 1328w, https://img.lemde.fr/2025/06/13/972/0/2333/1555/664/442/75/0/a3a86ee_upload-1-jcbwh36srwml-zam0202129.jpg 664w, https://img.lemde.fr/2025/06/13/972/0/2333/1555/355/236/75/0/a3a86ee_upload-1-jcbwh36srwml-zam0202129.jpg 355w"" height=""443"" width=""664""/> <noscript> <img alt=""Guy Savoy, à Paris, le 16 mars 2023."" src=""https://img.lemde.fr/2025/06/13/972/0/2333/1555/664/442/75/0/a3a86ee_upload-1-jcbwh36srwml-zam0202129.jpg""/> </noscript> </picture> </div> <div class=""article__wrapper""> <p class=""article__type"">Entretien</p> <p class=""article__byline""> Raphaëlle Bacqué</p> <span class=""icon__premium""><span class=""sr-only"">Article réservé aux abonnés</span></span><p class=""article__title article__title--inline"">Guy Savoy, chef étoilé : « A 15 ans, j’ai passé toutes mes vacances d’été à cuisiner à la buvette du jardin public »</p> <p class=""article__desc"">« Je ne serais pas arrivé là si… » Chaque semaine, « Le Monde » interroge une personnalité sur un moment décisif de son existence. Le chef multi-étoilé se souvient des saveurs de son enfance dans le jardin municipal de Bourgoin-Jallieu où travaillaient ses parents.</p> </div> <p class=""article__footer-info"">9 min de lecture </p> </a>",Now subheader found,yes,Entretien
"Ces « fixettes » qui prennent une importance démesurée : « J’ai vécu ce délire tout seul, sans que personne s’en aperçoive »",,No author name found,"<a href=""https://www.lemonde.fr/m-perso/article/2025/06/14/extension-du-domaine-de-la-fixette-j-etais-devenu-monomaniaque-de-louis-xvii_6612963_4497916.html""> <div class=""article__media-container""> <picture class=""article__media""> <img alt="""" data-sizes=""(min-width: 1024px) 355px, 664px"" data-src=""https://img.lemde.fr/2025/06/10/657/0/3543/2362/664/442/75/0/d500c9f_sirius-fs-upload-1-vk2653hfpzgc-1749542904217-aof-image-01-high-res.jpg"" data-srcset=""https://img.lemde.fr/2025/06/10/657/0/3543/2362/1328/885/45/0/d500c9f_sirius-fs-upload-1-vk2653hfpzgc-1749542904217-aof-image-01-high-res.jpg 1328w, https://img.lemde.fr/2025/06/10/657/0/3543/2362/664/442/75/0/d500c9f_sirius-fs-upload-1-vk2653hfpzgc-1749542904217-aof-image-01-high-res.jpg 664w, https://img.lemde.fr/2025/06/10/657/0/3543/2362/355/236/75/0/d500c9f_sirius-fs-upload-1-vk2653hfpzgc-1749542904217-aof-image-01-high-res.jpg 355w"" height=""443"" width=""664""/> <noscript> <img alt="""" src=""https://img.lemde.fr/2025/06/10/657/0/3543/2362/664/442/75/0/d500c9f_sirius-fs-upload-1-vk2653hfpzgc-1749542904217-aof-image-01-high-res.jpg""/> </noscript> </picture> </div> <div class=""article__wrapper""> <p class=""article__type"">Enquête</p> <p class=""article__byline""> Djaïd Yamak</p> <span class=""icon__premium""><span class=""sr-only"">Article réservé aux abonnés</span></span><p class=""article__title article__title--inline"">Ces « fixettes » qui prennent une importance démesurée : « J’ai vécu ce délire tout seul, sans que personne s’en aperçoive »</p> <p class=""article__desc"">Fixer son attention sur un sujet de niche peut être une pratique envahissante, elle n’en reste pas moins une forme d’évasion. Contrairement à une passion, qui obnubile le temps d’une vie, la fixette retombe un jour ou l’autre, aussi soudainement qu’elle était arrivée.</p> </div> <p class=""article__footer-info"">10 min de lecture </p> </a>",Now subheader found,yes,Enquête
Editorial du « Monde » : le choix de la guerre et de ses risques,No image found,Le Monde,"<a href=""https://www.lemonde.fr/idees/article/2025/06/14/israel-iran-le-choix-de-la-guerre-et-de-ses-risques_6613006_3232.html""> <div class=""article__type"">Éditorial</div> <p class=""article__title"">Editorial du « Monde » : le choix de la guerre et de ses risques</p> <div class=""article__author-name"">Le Monde</div> </a>",Now subheader found,no,Éditorial
IA : « Les robots peuvent-ils battre les loups de Wall Street ? »,,Isabelle Chaperon,"<a href=""https://www.lemonde.fr/economie/article/2025/06/13/ia-les-robots-peuvent-ils-battre-les-loups-de-wall-street_6612704_3234.html""> <div class=""article__type"">Chronique</div> <span class=""icon__premium icon--outside""><span class=""sr-only"">S’abonner</span></span><p class=""article__title"">IA : « Les robots peuvent-ils battre les loups de Wall Street ? »</p> <div class=""article__author""> <img class=""article__author-picture"" data-src=""https://img.lemde.fr/2025/04/14/0/0/0/0/100/100/60/0/eadb1b2_sirius-fs-upload-1-a9tixojc3cjh-1744643951260-isabelle-chaperon.jpg""/> <div> <div class=""article__author-name"">Isabelle Chaperon</div> <div class=""article__author-desc""></div> </div> </div> </a>",Now subheader found,yes,Chronique
Conférence des Nations unies sur l’océan : « Les effets du multilatéralisme environnemental sont déjà là »,No image found,Propos recueillis par,"<a href=""https://www.lemonde.fr/planete/article/2025/06/13/unoc-les-effets-du-multilateralisme-environnemental-sont-deja-la_6612779_3244.html""> <div class=""article__type"">Entretien</div> <span class=""icon__premium icon--outside""><span class=""sr-only"">S’abonner</span></span><p class=""article__title"">Conférence des Nations unies sur l’océan : « Les effets du multilatéralisme environnemental sont déjà là »</p> <span class=""article__author-name"">Propos recueillis par</span> <div class=""article__author""> <div> <div class=""article__author-name"">Matthieu Goar</div> <div class=""article__author-desc""></div> </div> </div> </a>",Now subheader found,yes,Entretien
